Cultivar_Replicate,Reps,Local Gov ,Market,Wk2PH,Wk2NL,Wk2NB,Wk2LL,Wk2LB,Wk2SD,Wk3PH,Wk3NL,Wk3NB,Wk3LL,Wk3LB,Wk3SD,Wk4PH,Wk4NL,Wk4NB,Wk4LL,Wk4LB,Wk4SD,Wk5PH,Wk5NL,Wk5NB,Wk5LL,Wk5LB,Wk5SD,Wk6PH,Wk6NL,Wk6NB,Wk6LL,Wk6LB,Wk6SD,Days_To_First_Flowering,Days_To_50%_Flowering,Flowring Category early(38-40) intermediate(41-45) late(46-51),Number of Pods,Pod Height(cm),Pod weight/pod,Average pod weight,Number of seeds,Seed weight,Average seed weight,Seed color
9b,,Rano Local Gov,Rano Market,0,0,0,0,0,,17,5,0,6.8,4.1,3.7,23.5,12,0,8.1,5.4,3.4,40,42,3,8.5,5.4,3.6,46.7,46,3,11.9,5.5,3.6,,,,,,,,,,,
10a,10,Rano Local Gov,Ruwan Kenya,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,0,0,,,,,,,,,,,
10b,,Rano Local Gov,Ruwan Kenya,26,17,0,10,4.5,,90,29,2,10.5,4.7,3.75,140,41,2,7.4,4.3,3.8,155,84,3,10,5.7,3.8,167.4,92,3,11.4,5.2,3.8,,,,,,,,,,,
11a,11,Dawakin toea Local Gov,Dawakin toea Market,180,40,1,11.5,6,,250,43,1,13.7,6.2,3.55,310,66,1,11,7,3.55,320,90,1,11.5,7.1,3.6,329.1,99,1,9.8,7.3,3.6,,,,,,,,,,,
11b,,Dawakin toea Local Gov,Dawakin toea Market,20,14,0,9,4.9,,60,17,0,12,6.7,3.5,130,24,0,10,6.5,3.7,231,90,3,10.5,7.8,3.8,262.8,99,3,8.5,6.3,3.8,,,,,,,,,,,
12a,12,Dawakin toea Local Gov,Dawanao Market,42,20,0,8,4.3,,160,41,2,3.4,7.4,3.55,300,61,4,10.4,6.5,3.6,324,102,4,11,7.4,3.8,346.8,112,4,11.4,6.9,3.8,,,,,,,,,,,
12b,,Dawakin toea Local Gov,Dawanao Market,51,41,2,4,6.2,,160,136,4,10.6,6.8,3.8,180,170,6,10.4,6.1,3.85,194,201,6,10,6.2,3.95,204.3,221,6,7.2,6,3.95,,,,,,,,,,,
13a,13,Kiru Local Gov,Round Market,39,27,0,10,6.4,,170,33,0,12.3,8.5,3.55,296,57,0,10.6,8.2,3.55,334,102,0,9,7.7,3.75,361,112,0,8.5,7.3,3.75,,,,,,,,,,,
13b,,Kiru Local Gov,Round Market,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
14a,14,Kiru Local Gov,Kwanar Dangora,48,36,2,8.2,5.5,,143,34,4,10.2,6.2,3.7,160,57,4,10.4,6.5,3.8,172,79,4,8,5.7,3.9,181.5,87,4,9,6.1,3.9,,,,,,,,,,,
14b,,Kiru Local Gov,Kwanar Dangora,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
15a,15,Wudil Local Gov,Wudil Market,55,22,0,13.5,7.5,,110,61,1,13.5,6.7,3.65,130,82,3,12,8.1,3.7,161,122,3,13,7.5,3.8,178,134,3,13.4,7.6,3.8,,,,,,,,,,,
15b,,Wudil Local Gov,Wudil Market,30,24,0,11,8,,110,44,1,12.7,8.9,3.65,160,72,3,11.4,9,3.65,231,111,3,10.5,8,3.7,260,122,3,10.2,7.6,3.7,,,,,,,,,,,
16a,16,Wudil Local Gov,Darki Market,80,36,0,12.5,7.5,,250,69,1,12.5,9,3.7,350,108,3,13,9,3.7,350,127,3,13,9.2,3.8,350,140,3,13.4,8.3,3.8,,,,,,,,,,,
16b,,Wudil Local Gov,Darki Market,80,36,0,12.5,7.5,,150,54,3,10.2,6.9,3.6,230,71,4,9,5.5,3.65,250,150,4,11,7.3,3.8,262,165,4,11.4,6.1,3.8,,,,,,,,,,,
17a,17,Dawakin Kadu,Lahadin Makoli,79,20,1,11.5,7.9,,241,62,2,10.6,7.7,3.7,350,81,3,10.7,7.1,3.7,261,106,3,11,7.7,3.7,280,117,3,11.3,8,3.7,,,,,,,,,,,
17b,,Dawakin Kadu,Lahadin Makoli,25,32,0,9,5.2,,115,47,0,10,6.5,3.45,240,78,0,11.5,8,3.55,263,110,0,11.8,7.3,3.6,280,121,0,12.1,7.4,3.6,,,,,,,,,,,
18a,18,Dawakin Kadu,Dawaki Market,74,36,0,12,7.3,,243,71,0,11.2,6.3,3.55,362,102,0,12,8.7,3.65,370,143,0,11,6,3.65,376,157,0,10.5,7.4,3.65,,,,,,,,,,,
18b,,Dawakin Kadu,Dawaki Market,180,32,0,12.3,8.2,,249,85,2,10.8,9,3.7,297,96,2,13,7.5,3.7,311,124,2,11.5,6.2,3.8,321,16,2,10.4,5.6,3.8,,,,,,,,,,,
19a,19,Nasarawa Local Kano,Yankaba Market,151,39,2,11,5.9,,262.5,83,2,11.5,5.3,3.6,301,105,2,12.4,7,3.55,321,191,2,10,5.5,3.7,337,210,2,0,5.8,3.7,,,,,,,,,,,
19b,,Nasarawa Local Kano,Yankaba Market,48,23,0,10.4,6.5,,150,47,2,11.3,7.1,3.6,310,78,2,10.3,6.2,3.7,333,106,4,10,7,3.7,350,117,4,9.5,7.4,3.7,,,,,,,,,,,
20a,20,Nasarawa Local Kano,Sabuwar Kaguwa,96,46,0,10.3,7.5,,270,150,0,13.5,8.4,3.8,360,162,1,11.5,7.7,3.8,360,209,1,11.7,7.2,3.8,360,230,1,12,6.8,3.8,,,,,,,,,,,
20b,,Nasarawa Local Kano,Sabuwar Kaguwa,15,9,0,5.2,3.3,,23.5,15,0,8,4.2,3.4,74.5,21,0,10,5.2,3.45,84,54,2,13,7.5,3.5,91.8,59,2,13.7,7.7,3.5,,,,,,,,,,,
