trait,trait_label,model,accession,mean,duncan_group
SD,Stem diameter,adjusted,Bichi6,2.1425,b
SD,Stem diameter,adjusted,Kwanar14,2.135,b
SD,Stem diameter,adjusted,Sabuwar20,2.1025,b
SD,Stem diameter,adjusted,Wudil15,2.1,b
SD,Stem diameter,adjusted,Kura1,2.0875,b
SD,Stem diameter,adjusted,Lahadin17,2.085,b
SD,Stem diameter,adjusted,Danzabura5,1.6333333333333333,c
SD,Stem diameter,adjusted,Garu4,1.6333333333333333,c
SD,Stem diameter,adjusted,Sumailia7,1.5999999999999999,c
SD,Stem diameter,adjusted,Kumbotso3,1.5566666666666666,c
SD,Stem diameter,naive,Dawanao12,2.7333333333333334,a
SD,Stem diameter,naive,Yankaba19,2.6833333333333336,a
SD,Stem diameter,naive,Darki16,2.683333333333333,a
SD,Stem diameter,naive,Dawakin11,2.65,a
SD,Stem diameter,naive,Gani8,2.65,a
SD,Stem diameter,naive,Dawaki18,2.225,a
SD,Stem diameter,naive,Ruwan10,2.2,a
SD,Stem diameter,naive,Danhassan2,2.1550000000000002,a
SD,Stem diameter,naive,Rano9,2.15,a
SD,Stem diameter,naive,Round13,2.15,a
SD,Stem diameter,naive,Bichi6,2.1425,a
SD,Stem diameter,naive,Kwanar14,2.135,a
SD,Stem diameter,naive,Sabuwar20,2.1025,a
SD,Stem diameter,naive,Wudil15,2.1,a
SD,Stem diameter,naive,Kura1,2.0875,a
SD,Stem diameter,naive,Lahadin17,2.085,a
SD,Stem diameter,naive,Danzabura5,1.6333333333333333,a
SD,Stem diameter,naive,Garu4,1.6333333333333333,a
SD,Stem diameter,naive,Sumailia7,1.5999999999999999,a
SD,Stem diameter,naive,Kumbotso3,1.5566666666666666,a
