accession_code,accession,lga,pot_id,pot,reading,plant_id,week,trait,trait_label,value,pvfta1
1,Kura1,Kura,1b,b,2,1b-r2,3,LB,Leaf breadth (cm),6.5,Not genotyped
1,Kura1,Kura,1b,b,2,1b-r2,3,LL,Leaf length (cm),7.8,Not genotyped
1,Kura1,Kura,1b,b,2,1b-r2,3,NB,Number of branches,4,Not genotyped
1,Kura1,Kura,1b,b,2,1b-r2,3,NL,Number of leaves,71,Not genotyped
1,Kura1,Kura,1b,b,2,1b-r2,3,PH,Plant height (cm),155,Not genotyped
1,Kura1,Kura,1b,b,2,1b-r2,3,SD,Stem diameter,3.6,Not genotyped
1,Kura1,Kura,1b,b,2,1b-r2,4,LB,Leaf breadth (cm),5.7,Not genotyped
1,Kura1,Kura,1b,b,2,1b-r2,4,LL,Leaf length (cm),7.5,Not genotyped
1,Kura1,Kura,1b,b,2,1b-r2,4,NB,Number of branches,4,Not genotyped
1,Kura1,Kura,1b,b,2,1b-r2,4,NL,Number of leaves,90,Not genotyped
1,Kura1,Kura,1b,b,2,1b-r2,4,PH,Plant height (cm),254,Not genotyped
1,Kura1,Kura,1b,b,2,1b-r2,4,SD,Stem diameter,3.8,Not genotyped
1,Kura1,Kura,1b,b,2,1b-r2,5,LB,Leaf breadth (cm),4.9,Not genotyped
1,Kura1,Kura,1b,b,2,1b-r2,5,LL,Leaf length (cm),7,Not genotyped
1,Kura1,Kura,1b,b,2,1b-r2,5,NB,Number of branches,4,Not genotyped
1,Kura1,Kura,1b,b,2,1b-r2,5,NL,Number of leaves,63,Not genotyped
1,Kura1,Kura,1b,b,2,1b-r2,5,PH,Plant height (cm),254,Not genotyped
1,Kura1,Kura,1b,b,2,1b-r2,5,SD,Stem diameter,3.8,Not genotyped
1,Kura1,Kura,1b,b,2,1b-r2,6,LB,Leaf breadth (cm),5.1,Not genotyped
1,Kura1,Kura,1b,b,2,1b-r2,6,LL,Leaf length (cm),6.6,Not genotyped
1,Kura1,Kura,1b,b,2,1b-r2,6,NB,Number of branches,4,Not genotyped
1,Kura1,Kura,1b,b,2,1b-r2,6,NL,Number of leaves,54,Not genotyped
1,Kura1,Kura,1b,b,2,1b-r2,6,PH,Plant height (cm),254,Not genotyped
1,Kura1,Kura,1b,b,2,1b-r2,6,SD,Stem diameter,3.8,Not genotyped
2,Danhassan2,Kura,2a,a,1,2a-r1,2,LB,Leaf breadth (cm),4.9,Amplified
2,Danhassan2,Kura,2a,a,1,2a-r1,2,LL,Leaf length (cm),7.3,Amplified
2,Danhassan2,Kura,2a,a,1,2a-r1,2,NB,Number of branches,NA,Amplified
2,Danhassan2,Kura,2a,a,1,2a-r1,2,NL,Number of leaves,20,Amplified
2,Danhassan2,Kura,2a,a,1,2a-r1,2,PH,Plant height (cm),22.2,Amplified
2,Danhassan2,Kura,2a,a,1,2a-r1,2,SD,Stem diameter,NA,Amplified
2,Danhassan2,Kura,2a,a,1,2a-r1,3,LB,Leaf breadth (cm),5.6,Amplified
2,Danhassan2,Kura,2a,a,1,2a-r1,3,LL,Leaf length (cm),8.9,Amplified
2,Danhassan2,Kura,2a,a,1,2a-r1,3,NB,Number of branches,NA,Amplified
2,Danhassan2,Kura,2a,a,1,2a-r1,3,NL,Number of leaves,23,Amplified
2,Danhassan2,Kura,2a,a,1,2a-r1,3,PH,Plant height (cm),24,Amplified
2,Danhassan2,Kura,2a,a,1,2a-r1,3,SD,Stem diameter,NA,Amplified
2,Danhassan2,Kura,2a,a,1,2a-r1,4,LB,Leaf breadth (cm),6.1,Amplified
2,Danhassan2,Kura,2a,a,1,2a-r1,4,LL,Leaf length (cm),8.9,Amplified
2,Danhassan2,Kura,2a,a,1,2a-r1,4,NB,Number of branches,NA,Amplified
2,Danhassan2,Kura,2a,a,1,2a-r1,4,NL,Number of leaves,25,Amplified
2,Danhassan2,Kura,2a,a,1,2a-r1,4,PH,Plant height (cm),35.1,Amplified
2,Danhassan2,Kura,2a,a,1,2a-r1,4,SD,Stem diameter,0.5,Amplified
2,Danhassan2,Kura,2a,a,1,2a-r1,5,LB,Leaf breadth (cm),4,Amplified
2,Danhassan2,Kura,2a,a,1,2a-r1,5,LL,Leaf length (cm),6,Amplified
2,Danhassan2,Kura,2a,a,1,2a-r1,5,NB,Number of branches,NA,Amplified
2,Danhassan2,Kura,2a,a,1,2a-r1,5,NL,Number of leaves,20,Amplified
2,Danhassan2,Kura,2a,a,1,2a-r1,5,PH,Plant height (cm),35,Amplified
